period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1842,6711,8.84,32.21
3_Month,5-11,2452,9482,7.2,27.83
6_Month,5-11,3910,41210,1.01,10.61
1_Year,5-11,4181,50258,0.68,8.21
All,5-11,4181,50596,0.58,7.06
1_Month,12-15,1135,1507,12.62,16.76
3_Month,12-15,1665,2293,9.72,13.39
6_Month,12-15,6627,12145,3.76,6.89
1_Year,12-15,8384,17840,3.07,6.54
All,12-15,8385,18192,2.45,5.31
1_Month,16-19,2131,715,20.38,6.84
3_Month,16-19,2809,969,16.86,5.82
6_Month,16-19,10112,5581,7.03,3.88
1_Year,16-19,13793,10613,6.25,4.81
All,16-19,13819,10906,4.55,3.59
1_Month,20-29,6189,1787,19.59,5.66
3_Month,20-29,8184,2394,16.16,4.73
6_Month,20-29,26291,11828,8.26,3.72
1_Year,20-29,33988,20387,7.04,4.22
All,20-29,34034,20874,5.33,3.27
1_Month,30-39,7130,2258,18.1,5.73
3_Month,30-39,9323,3031,14.48,4.71
6_Month,30-39,26838,12541,7.2,3.36
1_Year,30-39,32460,18588,6.16,3.53
All,30-39,32531,18925,5.06,2.94
1_Month,40-49,6723,1751,16.99,4.43
3_Month,40-49,8852,2321,13.55,3.55
6_Month,40-49,23809,9128,6.84,2.62
1_Year,40-49,29003,13611,6.06,2.84
All,40-49,29091,13861,5.03,2.4
1_Month,50-59,4576,1024,12.44,2.78
3_Month,50-59,6153,1354,10.12,2.23
6_Month,50-59,15417,5018,6.14,2
1_Year,50-59,18500,7286,5.62,2.21
All,50-59,18557,7459,4.62,1.86
1_Month,60-69,3424,554,8.71,1.41
3_Month,60-69,4548,738,7.01,1.14
6_Month,60-69,9555,2665,4.94,1.38
1_Year,60-69,11421,3780,4.63,1.53
All,60-69,11466,3874,3.9,1.32
1_Month,70-79,2025,238,5.92,0.7
3_Month,70-79,2731,308,4.84,0.55
6_Month,70-79,4665,875,3.69,0.69
1_Year,70-79,5455,1169,3.53,0.76
All,70-79,5479,1220,3.07,0.68
1_Month,80+,1334,131,7.25,0.71
3_Month,80+,1683,181,5.93,0.64
6_Month,80+,2852,505,4.53,0.8
1_Year,80+,3293,647,4.29,0.84
All,80+,3325,693,3.56,0.74
