age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,12.1,77.5,10.4
12-15,65.6,54.6,14.9,0,19.4,43.1,37.5
16-19,89.3,78.2,45.9,0.2,20.3,22.5,57.1
20-29,85.6,77.1,54.7,0.8,19.5,13.4,67.1
30-39,88.9,82,59.7,2,21.6,10.6,67.8
40-49,90.6,84.7,67,3.4,22,9,69
50-59,91.2,86.5,73.3,7.1,21.8,6.8,71.4
60-69,93.2,90.3,80.8,33.9,21.3,7.7,70.9
70-79,92.1,90.6,87.3,54.5,21.8,4.2,74
80+,95.3,93.2,87.5,57.9,20.9,6.1,72.9
