age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,339,339,1676,236.4,268.7,180,0,0,0,0,0,0
12-15,95,519,332,80.9,221,124.3,0,0,0,0,0,0
16-19,69,1215,280,59.6,362.7,213.2,0,1,0,0,0.3,0
20-29,227,4261,783,91,484.5,449.9,0,3,1,0,0.3,0.6
30-39,306,5042,955,120.5,618.4,754.4,1,5,0,0.4,0.6,0
40-49,438,4968,748,184.4,649.9,752.4,1,6,2,0.4,0.8,2
50-59,582,4792,556,313.5,769.2,944.2,1,13,4,0.5,2.1,6.8
60-69,1664,8398,667,1080.1,1585.3,1162.4,10,36,11,6.5,6.8,19.2
70-79,1906,8140,517,1724.9,2104.2,2393,14,61,18,12.7,15.8,83.3
80+,1391,5594,531,2440.7,2737.1,3113.3,38,116,41,66.7,56.8,240.4
