period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,144,275,18.51,35.35
3_Month,5-11,449,1072,14.31,34.16
6_Month,5-11,3202,11140,8.86,30.82
1_Year,5-11,5092,51436,1.02,10.34
All,5-11,5092,53167,0.7,7.34
1_Month,12-15,189,101,28.25,15.1
3_Month,12-15,523,404,21.95,16.95
6_Month,12-15,2287,2793,12.46,15.21
1_Year,12-15,9092,17613,3.81,7.38
All,12-15,9151,18939,2.64,5.46
1_Month,16-19,413,51,41.22,5.09
3_Month,16-19,834,166,32.13,6.39
6_Month,16-19,4122,1254,20.75,6.31
1_Year,16-19,15122,10012,7.61,5.04
All,16-19,15331,11273,4.96,3.64
1_Month,20-29,997,108,39.22,4.25
3_Month,20-29,2289,339,30.21,4.47
6_Month,20-29,12247,3133,19.95,5.1
1_Year,20-29,38237,19240,8.8,4.43
All,20-29,38719,21797,5.9,3.32
1_Month,30-39,985,124,35.18,4.43
3_Month,30-39,2474,446,27.15,4.89
6_Month,30-39,13857,3979,18.22,5.23
1_Year,30-39,37351,18258,7.78,3.8
All,30-39,37788,20098,5.68,3.02
1_Month,40-49,1199,118,36.76,3.62
3_Month,40-49,2809,413,27.47,4.04
6_Month,40-49,13511,3101,17.35,3.98
1_Year,40-49,33971,13647,7.55,3.04
All,40-49,34356,14808,5.72,2.46
1_Month,50-59,1002,103,28.64,2.94
3_Month,50-59,2263,296,21.07,2.76
6_Month,50-59,9828,1871,13.16,2.51
1_Year,50-59,22444,7529,6.94,2.33
All,50-59,22679,8081,5.34,1.9
1_Month,60-69,848,41,20.55,0.99
3_Month,60-69,1962,165,14.95,1.26
6_Month,60-69,7642,1053,9.29,1.28
1_Year,60-69,14747,4010,5.77,1.57
All,60-69,14910,4236,4.65,1.32
1_Month,70-79,579,24,14.17,0.59
3_Month,70-79,1479,89,10.57,0.64
6_Month,70-79,5006,462,6.62,0.61
1_Year,70-79,7851,1299,4.57,0.76
All,70-79,7943,1392,3.88,0.68
1_Month,80+,358,31,14,1.21
3_Month,80+,957,85,11.87,1.05
6_Month,80+,3315,337,8.09,0.82
1_Year,80+,5010,796,5.75,0.91
All,80+,5090,865,4.65,0.79
