period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,923,3071,10.15,33.77
3_Month,5-11,2753,10184,8.16,30.18
6_Month,5-11,3677,20543,2.6,14.53
1_Year,5-11,4617,51543,0.76,8.5
All,5-11,4617,52009,0.64,7.22
1_Month,12-15,506,596,14.58,17.18
3_Month,12-15,1771,2405,10.79,14.65
6_Month,12-15,3344,5146,5.13,7.89
1_Year,12-15,8599,18071,3.17,6.66
All,12-15,8604,18505,2.5,5.37
1_Month,16-19,1319,366,24.41,6.77
3_Month,16-19,3273,1085,18.77,6.22
6_Month,16-19,5489,2093,9.59,3.66
1_Year,16-19,14371,10717,6.51,4.86
All,16-19,14453,11093,4.72,3.62
1_Month,20-29,4243,1049,22.99,5.68
3_Month,20-29,9916,2786,18.28,5.14
6_Month,20-29,16132,4994,10.59,3.28
1_Year,20-29,36179,20806,7.44,4.28
All,20-29,36291,21429,5.6,3.3
1_Month,30-39,4846,1311,21.69,5.87
3_Month,30-39,11312,3535,16.73,5.23
6_Month,30-39,17708,6008,9.46,3.21
1_Year,30-39,34998,19160,6.58,3.6
All,30-39,35125,19603,5.36,2.99
1_Month,40-49,4256,1022,19.68,4.73
3_Month,40-49,10647,2677,15.58,3.92
6_Month,40-49,16036,4483,8.81,2.46
1_Year,40-49,31249,14047,6.46,2.9
All,40-49,31389,14359,5.32,2.43
1_Month,50-59,3114,595,15.04,2.87
3_Month,50-59,7498,1572,11.65,2.44
6_Month,50-59,11041,2605,7.5,1.77
1_Year,50-59,20178,7567,6,2.25
All,50-59,20278,7770,4.91,1.88
1_Month,60-69,2433,347,10.51,1.5
3_Month,60-69,5624,878,8.1,1.26
6_Month,60-69,7713,1408,5.77,1.05
1_Year,60-69,12750,3941,4.99,1.54
All,60-69,12838,4053,4.19,1.32
1_Month,70-79,1560,153,7.52,0.74
3_Month,70-79,3472,367,5.63,0.6
6_Month,70-79,4315,552,4.22,0.54
1_Year,70-79,6336,1238,3.87,0.76
All,70-79,6377,1299,3.36,0.68
1_Month,80+,1220,132,9.44,1.02
3_Month,80+,2316,252,7.09,0.77
6_Month,80+,2824,366,5.47,0.71
1_Year,80+,4020,724,4.86,0.88
All,80+,4066,777,4.04,0.77
