age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,2.8,79.2,17.9
12-15,65.6,54.7,14.9,0,5.9,44,50.1
16-19,89.3,78.3,46,0.2,6.4,22.8,70.8
20-29,85.6,77.1,54.8,0.9,7.1,13.3,79.6
30-39,89,82,59.7,2,8.6,10.5,80.9
40-49,90.6,84.7,67.1,3.5,9,9,82
50-59,91.2,86.6,73.3,7.2,10.1,6.6,83.2
60-69,93.2,90.3,80.9,34.1,8.8,7.7,83.5
70-79,92.1,90.7,87.4,54.6,8.8,3.7,87.5
80+,95.3,93.3,87.5,58.1,8.2,6,85.8
