instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,43.9,52.7,2022-08-09T00:00:00.000Z
Poriah Hospital               ,53.8,69.3,2022-08-09T00:00:00.000Z
Hacarmel Hospital             ,58.5,83,2022-08-09T00:00:00.000Z
Soroka Medical Center         ,70.5,78,2022-08-09T00:00:00.000Z
Barzilai Medical Center       ,71.9,68.7,2022-08-09T00:00:00.000Z
Woolfson Medical Center       ,71.7,81.3,2022-08-09T00:00:00.000Z
Meir Hospital                 ,71,83.5,2022-08-09T00:00:00.000Z
Shmuel Harofe                 ,75,83,2022-08-09T00:00:00.000Z
Assaf Harofeh Medical Center  ,79.2,71.6,2022-08-09T00:00:00.000Z
Hillel Yaffeh Medical Center  ,89,85,2022-08-09T00:00:00.000Z
Bnei Ziom Medical Center      ,95,98.4,2022-08-09T00:00:00.000Z
Haemek Valley Center Hospital ,95.5,77.2,2022-08-09T00:00:00.000Z
      Ziv Hospital            ,96.9,81.6,2022-08-09T00:00:00.000Z
,,35.3,2022-08-09T00:00:00.000Z
Rambam                        ,99.5,90.3,2022-08-09T00:00:00.000Z
Rabin K. Beilinson            ,117.6,103.3,2022-08-09T00:00:00.000Z
