instituteDesc,occupancy,gOccupancy,occupancyDate
,,,2022-12-21T00:00:00.000Z
Tel Aviv Medical Center       ,,,2022-12-21T00:00:00.000Z
,,,2022-12-21T00:00:00.000Z
Assuta Ashdod                 ,,,2022-12-21T00:00:00.000Z
Poriah Hospital               ,67.9,67.9,2022-12-21T00:00:00.000Z
Yosephtal Hospital            ,68.8,66.2,2022-12-21T00:00:00.000Z
Laniado                       ,85.9,89.2,2022-12-21T00:00:00.000Z
Bnei Ziom Medical Center      ,98.3,96.1,2022-12-21T00:00:00.000Z
Barzilai Medical Center       ,102.1,86.1,2022-12-21T00:00:00.000Z
,,,2022-12-21T00:00:00.000Z
Hadassah Mount Scopus         ,91.7,85.8,2022-12-21T00:00:00.000Z
Nahariya                      ,103.2,94,2022-12-21T00:00:00.000Z
Hadassah Ein Kerem            ,122.3,96.4,2022-12-21T00:00:00.000Z
Hacarmel Hospital             ,,,2022-12-21T00:00:00.000Z
Hillel Yaffeh Medical Center  ,100,84.5,2022-12-21T00:00:00.000Z
Haemek Valley Center Hospital ,,,2022-12-21T00:00:00.000Z
The Holy Family               ,,,2022-12-21T00:00:00.000Z
,,,2022-12-21T00:00:00.000Z
Woolfson Medical Center       ,70.5,71.3,2022-12-21T00:00:00.000Z
      Ziv Hospital            ,109.4,80.7,2022-12-21T00:00:00.000Z
Meir Hospital                 ,,,2022-12-21T00:00:00.000Z
Mayanei Hayeshua              ,,,2022-12-21T00:00:00.000Z
Soroka Medical Center         ,,,2022-12-21T00:00:00.000Z
,,,2022-12-21T00:00:00.000Z
Kaplan Hospital               ,,,2022-12-21T00:00:00.000Z
Rabin K. Beilinson            ,,,2022-12-21T00:00:00.000Z
Rabin K. Hasharon             ,,,2022-12-21T00:00:00.000Z
Assaf Harofeh Medical Center  ,81.9,74.2,2022-12-21T00:00:00.000Z
Rambam                        ,99.5,92.4,2022-12-21T00:00:00.000Z
Chaim Sheba Medical Center    ,,,2022-12-21T00:00:00.000Z
Shmuel Harofe                 ,,,2022-12-21T00:00:00.000Z
Shaare Zedek                  ,103.3,106.4,2022-12-21T00:00:00.000Z
