age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,286,0,588,100,,63.6,0,0,0,0,,0
12-15,289,141,127,105.6,153.7,48.7,0,0,1,0,0,0.4
16-19,361,50,58,95.8,62.2,45.1,0,0,0,0,0,0
20-29,898,106,148,94.3,58.6,83.4,1,0,1,0.1,0,0.6
30-39,1136,147,183,124.8,90.3,142,1,0,1,0.1,0,0.8
40-49,1232,103,148,139.1,87.1,144.8,0,1,3,0,0.8,2.9
50-59,1187,63,125,162.4,81.8,198.8,3,0,3,0.4,0,4.8
60-69,1676,56,148,259.6,146.3,249,12,1,5,1.9,2.6,8.4
70-79,1618,44,124,341.7,235.5,445.6,20,3,6,4.2,16.1,21.6
80+,874,29,77,353.2,216.4,420.2,19,2,6,7.7,14.9,32.7
