period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,436,7130,0.57,9.25
3_Month,5-11,1357,36162,0.33,8.68
6_Month,5-11,1357,36947,0.28,7.64
1_Year,5-11,1357,37796,0.24,6.82
All,5-11,1357,37890,0.21,5.84
1_Month,12-15,1067,1818,3.24,5.51
3_Month,12-15,6176,13652,3.09,6.83
6_Month,12-15,6218,14015,2.86,6.44
1_Year,12-15,6274,14742,2.55,6
All,12-15,6274,14874,2.03,4.81
1_Month,16-19,1363,582,5.52,2.36
3_Month,16-19,9987,8247,6.22,5.13
6_Month,16-19,10047,8609,5.85,5.01
1_Year,16-19,10229,9204,5.35,4.82
All,16-19,10238,9460,3.77,3.48
1_Month,20-29,3175,1188,6.52,2.44
3_Month,20-29,22493,14941,7.09,4.71
6_Month,20-29,22708,15865,6.63,4.64
1_Year,20-29,23082,17001,5.91,4.35
All,20-29,23096,17380,4.28,3.22
1_Month,30-39,3381,1355,5.37,2.15
3_Month,30-39,19998,12977,5.91,3.83
6_Month,30-39,20206,13705,5.51,3.74
1_Year,30-39,20501,14489,4.95,3.5
All,30-39,20514,14734,3.91,2.81
1_Month,40-49,2878,960,4.84,1.62
3_Month,40-49,17523,9546,5.67,3.09
6_Month,40-49,17681,9986,5.38,3.04
1_Year,40-49,17940,10450,4.89,2.85
All,40-49,17958,10634,3.89,2.3
1_Month,50-59,1824,498,4.73,1.29
3_Month,50-59,10630,5051,5.34,2.54
6_Month,50-59,10718,5245,5.15,2.52
1_Year,50-59,10866,5419,4.7,2.34
All,50-59,10882,5559,3.62,1.85
1_Month,60-69,942,260,3.7,1.02
3_Month,60-69,5803,2656,4.44,2.03
6_Month,60-69,5843,2711,4.3,2
1_Year,60-69,5946,2787,3.94,1.85
All,60-69,5957,2853,3.04,1.46
1_Month,70-79,335,99,2.38,0.7
3_Month,70-79,2276,737,3.4,1.1
6_Month,70-79,2302,755,3.32,1.09
1_Year,70-79,2358,785,3.03,1.01
All,70-79,2367,821,2.36,0.82
1_Month,80-89,167,48,2.98,0.86
3_Month,80-89,1002,316,3.84,1.21
6_Month,80-89,1011,324,3.7,1.19
1_Year,80-89,1043,332,3.33,1.06
All,80-89,1055,361,2.45,0.84
1_Month,90+,46,10,3.14,0.68
3_Month,90+,353,80,5.09,1.15
6_Month,90+,357,80,4.91,1.1
1_Year,90+,375,84,4.49,1.01
All,90+,378,95,3.07,0.77
