age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,552,0,1005,191,,109.2,0,0,0,0,,0
12-15,426,158,249,150.7,184.2,99.1,0,0,0,0,0,0
16-19,667,80,175,174,103.5,148.1,1,0,1,0.3,0,0.8
20-29,2091,216,472,218.4,134.7,265.8,0,0,1,0,0,0.6
30-39,2573,242,622,279.9,178.5,470.3,3,1,3,0.3,0.7,2.3
40-49,2562,164,492,286.3,165.2,481.8,8,3,3,0.9,3,2.9
50-59,2297,121,447,312.7,178.1,706.3,7,0,10,1,0,15.8
60-69,3549,115,502,545.5,295.9,941.2,36,4,7,5.5,10.3,13.1
70-79,2953,62,368,611.7,278.9,1916.4,30,2,7,6.2,9,36.5
80-89,1470,51,200,686.3,342.8,2695.8,34,4,10,15.9,26.9,134.8
90+,528,20,56,1034.9,274.5,,27,3,6,52.9,41.2,
