age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0,0,23.6,76.3,0
12-15,65.5,54.5,14.6,0,43.6,41.7,14.7
16-19,89.2,78.1,45.8,0.2,64.3,21.9,13.8
20-29,85.6,77,54.6,0.7,72.6,13.5,13.8
30-39,88.9,81.9,59.6,1.9,75.7,10.7,13.6
40-49,90.5,84.6,66.9,3.1,80.1,9.2,10.7
50-59,91.2,86.5,73.2,6.5,83.9,7.2,8.9
60-69,93.1,90.2,80.7,33.1,86.9,8,5.2
70-79,92,90.6,87.2,53.5,91.1,5.3,3.6
80+,95.2,93.2,87.4,57.2,88.7,6.5,4.8
