age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,354359,281739,635971,55.7,44.3,450,0.1
16-19,507840,438875,591331,85.9,74.2,175358,29.7
20-29,1091268,976785,1319364,82.7,74,577277,43.8
30-39,1047690,961152,1207243,86.8,79.6,602002,49.9
40-49,987231,917615,1110965,88.9,82.6,659901,59.4
50-59,785686,739672,874608,89.8,84.6,585534,66.9
60-69,686494,659754,747217,91.9,88.3,565640,75.7
70-79,475199,464323,526929,90.2,88.1,431125,81.8
80-89,215091,209384,238729,90.1,87.7,188325,78.9
90+,48912,47090,58687,83.3,80.2,40897,69.7
