age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,147,0,1245,43.9,0,487.7,0,0,1,0,0,0.4
16-19,168,237,575,50.9,235.1,453.5,0,0,0,0,0,0
20-29,376,628,1008,48.9,247.3,447.1,1,3,13,0.1,1.2,5.8
30-39,437,701,1047,57.2,310.5,645.3,0,2,19,0,0.9,11.7
40-49,342,453,750,43.5,281.6,599.9,3,2,48,0.4,1.2,38.4
50-59,188,255,440,28.2,255.4,512.6,8,8,71,1.2,8,82.7
60-69,173,152,312,27.9,280.1,511.2,17,7,57,2.7,12.9,93.4
70-79,136,79,203,30.2,269.8,489.2,17,7,38,3.8,23.9,91.6
80-89,104,47,113,53,261.1,557.6,9,3,19,4.6,16.7,93.8
90+,30,7,29,72,94.5,370.8,2,0,7,4.8,0,89.5
