period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,200,536,12.95,34.72
3_Month,5-11,2569,8934,9.36,32.55
6_Month,5-11,3459,14264,5.14,21.19
1_Year,5-11,4859,51440,0.91,9.59
All,5-11,4859,52697,0.67,7.29
1_Month,12-15,205,177,19.96,17.23
3_Month,12-15,1630,2068,13.29,16.86
6_Month,12-15,2551,3590,7.63,10.74
1_Year,12-15,8809,17626,3.55,7.11
All,12-15,8849,18735,2.56,5.42
1_Month,16-19,222,65,25,7.32
3_Month,16-19,3083,998,21.23,6.87
6_Month,16-19,4430,1633,13.32,4.91
1_Year,16-19,14571,10135,7.16,4.98
All,16-19,14755,11185,4.8,3.64
1_Month,20-29,700,129,25.55,4.71
3_Month,20-29,9481,2549,20.74,5.58
6_Month,20-29,13824,4040,13.19,3.85
1_Year,20-29,36880,19617,8.29,4.41
All,20-29,37267,21612,5.71,3.31
1_Month,30-39,827,178,23.82,5.13
3_Month,30-39,10974,3238,19.29,5.69
6_Month,30-39,15452,4964,12.16,3.91
1_Year,30-39,35947,18504,7.3,3.76
All,30-39,36281,19872,5.5,3.01
1_Month,40-49,889,168,23.25,4.39
3_Month,40-49,10282,2515,18.01,4.41
6_Month,40-49,14291,3784,11.41,3.02
1_Year,40-49,32237,13709,7.08,3.01
All,40-49,32548,14588,5.47,2.45
1_Month,50-59,639,105,16.65,2.74
3_Month,50-59,7268,1488,13.47,2.76
6_Month,50-59,10070,2250,9.04,2.02
1_Year,50-59,20967,7479,6.5,2.32
All,50-59,21162,7911,5.06,1.89
1_Month,60-69,545,67,11.9,1.46
3_Month,60-69,5561,844,9.4,1.43
6_Month,60-69,7467,1244,6.64,1.11
1_Year,60-69,13426,3962,5.35,1.58
All,60-69,13570,4149,4.34,1.33
1_Month,70-79,403,30,8.48,0.63
3_Month,70-79,3509,363,6.61,0.68
6_Month,70-79,4518,503,4.84,0.54
1_Year,70-79,6857,1261,4.16,0.77
All,70-79,6932,1341,3.53,0.68
1_Month,80+,293,22,11.31,0.85
3_Month,80+,2509,255,8.35,0.85
6_Month,80+,3024,338,6.31,0.71
1_Year,80+,4415,750,5.31,0.9
All,80+,4490,811,4.3,0.78
