age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,12911,9,40738,4671.4,,4473.3,0,0,3,0,,0.3
12-15,13955,1841,8946,4125.2,5248.2,3689,2,0,4,0.6,0,1.6
16-19,13572,2342,4087,3374.8,3871.3,3562.5,4,0,2,1,0,1.7
20-29,25089,5224,6992,2642.6,3262,3812.8,4,2,6,0.4,1.2,3.3
30-39,32616,6093,7719,3595.3,4280.1,5701.1,6,1,14,0.7,0.7,10.3
40-49,31973,3947,5836,3606.9,3819.5,5558.3,16,6,23,1.8,5.8,21.9
50-59,20551,2045,3375,2822.1,2966.1,4965.9,40,13,49,5.5,18.9,72.1
60-69,17235,1475,2682,2656,3706.2,5003.5,109,26,79,16.8,65.3,147.4
70-79,10011,725,1451,2107.8,3211.4,5503.7,144,31,111,30.3,137.3,421
80-89,5010,337,893,2404.3,2256.1,6943.5,138,34,124,66.2,227.6,964.2
90+,1695,104,338,3625.9,1488.1,9947,61,12,56,130.5,171.7,1648
