age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.9,17.1,0,0,23.28,76.72,0
12-15,65.4,54.2,14,0,54.92,39.37,5.7
16-19,89.2,77.9,45.3,0.1,69.65,19.87,10.48
20-29,85.6,76.7,54.1,0.4,73.43,14.18,12.39
30-39,88.9,81.7,59.1,1.1,76.55,11.43,12.02
40-49,90.5,84.4,66.4,1.8,80.97,9.59,9.44
50-59,91,86.1,72.6,3.6,84.17,7.86,7.97
60-69,92.7,89.7,80,28.7,87.41,7.22,5.36
70-79,90.8,89.3,85.8,47,90.66,5.03,4.31
80-89,90.8,89,83.2,49.1,88.23,5.45,6.33
90+,84.3,81.6,75.7,47,81.81,5.95,12.24
