instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,56.3,38.5,2022-09-08T00:00:00.000Z
Rabin K. Hasharon             ,58.8,69.7,2022-09-08T00:00:00.000Z
Woolfson Medical Center       ,63.9,71.9,2022-09-08T00:00:00.000Z
Bnei Ziom Medical Center      ,70.2,86.6,2022-09-08T00:00:00.000Z
Meir Hospital                 ,70,79.8,2022-09-08T00:00:00.000Z
Hacarmel Hospital             ,76.4,84.7,2022-09-08T00:00:00.000Z
Hadassah Mount Scopus         ,77.8,86.1,2022-09-08T00:00:00.000Z
Haemek Valley Center Hospital ,77.4,74.8,2022-09-08T00:00:00.000Z
Soroka Medical Center         ,80.2,85.4,2022-09-08T00:00:00.000Z
Poriah Hospital               ,85.9,85.6,2022-09-08T00:00:00.000Z
Shmuel Harofe                 ,88.9,80.6,2022-09-08T00:00:00.000Z
Hillel Yaffeh Medical Center  ,89,89.7,2022-09-08T00:00:00.000Z
      Ziv Hospital            ,90.6,77.8,2022-09-08T00:00:00.000Z
Rambam                        ,95.5,90.7,2022-09-08T00:00:00.000Z
Barzilai Medical Center       ,96.4,87.9,2022-09-08T00:00:00.000Z
Laniado                       ,102.6,96.4,2022-09-08T00:00:00.000Z
Nahariya                      ,106.8,94.2,2022-09-08T00:00:00.000Z
Hadassah Ein Kerem            ,113.6,102.6,2022-09-08T00:00:00.000Z
Kaplan Hospital               ,118,92.8,2022-09-08T00:00:00.000Z
Rabin K. Beilinson            ,118.5,94.4,2022-09-08T00:00:00.000Z
