age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25,17.5,0,0,24.13,75.87,0
12-15,65.5,54.4,14.3,0,49.41,40.05,10.54
16-19,89.3,78.1,45.6,0.1,68.18,20.18,11.64
20-29,85.7,77,54.5,0.6,74.17,13.85,11.98
30-39,89.1,82,59.5,1.6,77.59,11.22,11.19
40-49,90.6,84.6,66.8,2.8,81.75,9.37,8.88
50-59,91.1,86.3,72.9,5.6,84.88,7.44,7.69
60-69,92.8,89.8,80.3,30.7,87.78,7.08,5.14
70-79,90.9,89.4,86,49.5,91.87,3.95,4.18
80-89,90.8,89.1,83.5,51.6,89.23,4.63,6.15
90+,84.4,81.8,76.1,49.7,84.28,3.56,12.16
