age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.26,81.36,18.38
12-15,65.7,54.7,15,0,0.7,47.55,51.75
16-19,89.3,78.3,46,0.2,0.6,24.43,74.98
20-29,85.7,77.2,54.8,0.9,0.85,12.58,86.57
30-39,89,82.1,59.8,2.1,1.42,10.28,88.29
40-49,90.6,84.8,67.1,3.6,2.16,8.38,89.46
50-59,91.3,86.6,73.4,7.4,4.27,5.49,90.24
60-69,93.2,90.4,80.9,34.2,11.65,7.47,80.88
70-79,92.1,90.7,87.4,54.8,25.5,0.68,73.82
80+,95.3,93.3,87.6,58.2,27.76,2.9,69.34
