period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,148,270,20.76,37.87
3_Month,5-11,404,810,18.27,36.64
6_Month,5-11,1923,5664,11.53,33.95
1_Year,5-11,5317,51180,1.11,10.7
All,5-11,5341,53674,0.74,7.4
1_Month,12-15,263,137,36.68,19.11
3_Month,12-15,726,356,33.86,16.6
6_Month,12-15,1713,1471,20.35,17.48
1_Year,12-15,9434,17430,4.08,7.54
All,12-15,9675,19183,2.78,5.5
1_Month,16-19,894,109,49.04,5.98
3_Month,16-19,1959,247,45.76,5.77
6_Month,16-19,3958,828,31.59,6.61
1_Year,16-19,16343,9879,8.32,5.03
All,16-19,16843,11460,5.39,3.67
1_Month,20-29,2175,198,48.11,4.38
3_Month,20-29,4857,452,44.57,4.15
6_Month,20-29,11244,1991,28.98,5.13
1_Year,20-29,41308,19019,9.6,4.42
All,20-29,42471,22124,6.39,3.33
1_Month,30-39,2153,258,44.54,5.34
3_Month,30-39,4718,581,39.98,4.92
6_Month,30-39,12231,2578,26.3,5.54
1_Year,30-39,40459,18281,8.47,3.83
All,30-39,41401,20527,6.15,3.05
1_Month,40-49,2527,208,47.72,3.93
3_Month,40-49,5706,481,43.1,3.63
6_Month,40-49,12572,2060,26.41,4.33
1_Year,40-49,37827,13672,8.43,3.05
All,40-49,38720,15148,6.34,2.48
1_Month,50-59,2086,179,38.8,3.33
3_Month,50-59,4715,436,34.26,3.17
6_Month,50-59,9817,1376,20.82,2.92
1_Year,50-59,25725,7698,7.86,2.35
All,50-59,26260,8390,6.05,1.93
1_Month,60-69,1744,117,29.92,2.01
3_Month,60-69,3926,262,25.36,1.69
6_Month,60-69,7964,832,14.91,1.56
1_Year,60-69,17529,4146,6.69,1.58
All,60-69,17844,4440,5.4,1.34
1_Month,70-79,1180,65,20.88,1.15
3_Month,70-79,2660,141,17.3,0.92
6_Month,70-79,5413,408,10.6,0.8
1_Year,70-79,9757,1393,5.43,0.77
All,70-79,9911,1499,4.61,0.7
1_Month,80+,806,66,18.77,1.54
3_Month,80+,1794,153,16.97,1.45
6_Month,80+,3798,368,11.86,1.15
1_Year,80+,6353,910,6.78,0.97
All,80+,6465,986,5.53,0.84
