period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,371,2731,1.29,9.52
3_Month,5-11,1665,37158,0.4,8.91
6_Month,5-11,1741,39249,0.38,8.46
1_Year,5-11,1741,40637,0.3,7.03
All,5-11,1741,40767,0.26,6
1_Month,12-15,510,766,3.54,5.32
3_Month,12-15,6191,13114,3.16,6.69
6_Month,12-15,6732,14539,3.08,6.65
1_Year,12-15,6816,15525,2.65,6.04
All,12-15,6816,15682,2.1,4.83
1_Month,16-19,752,325,5.57,2.41
3_Month,16-19,9587,7341,6.03,4.62
6_Month,16-19,10777,8657,6.1,4.9
1_Year,16-19,11009,9528,5.41,4.69
All,16-19,11018,9795,3.85,3.43
1_Month,20-29,2645,707,6.3,1.68
3_Month,20-29,22872,13704,6.97,4.18
6_Month,20-29,25278,15822,6.93,4.34
1_Year,20-29,25826,17686,6.01,4.12
All,20-29,25847,18109,4.43,3.1
1_Month,30-39,2505,806,5.39,1.73
3_Month,30-39,21105,12579,5.85,3.49
6_Month,30-39,22631,13935,5.78,3.56
1_Year,30-39,23068,15266,5.04,3.33
All,30-39,23100,15560,4.03,2.72
1_Month,40-49,2121,582,4.8,1.32
3_Month,40-49,18240,9170,5.51,2.77
6_Month,40-49,19764,10223,5.51,2.85
1_Year,40-49,20121,11021,4.91,2.69
All,40-49,20156,11233,3.97,2.21
1_Month,50-59,1414,367,4.09,1.06
3_Month,50-59,11205,4907,5.08,2.23
6_Month,50-59,12097,5461,5.11,2.31
1_Year,50-59,12296,5785,4.64,2.18
All,50-59,12330,5938,3.66,1.76
1_Month,60-69,853,173,3.08,0.62
3_Month,60-69,6210,2579,4.15,1.72
6_Month,60-69,6687,2843,4.17,1.77
1_Year,60-69,6807,2956,3.82,1.66
All,60-69,6831,3030,3.05,1.35
1_Month,70-79,340,44,1.91,0.25
3_Month,70-79,2441,721,3.05,0.9
6_Month,70-79,2634,784,3.07,0.91
1_Year,70-79,2704,823,2.83,0.86
All,70-79,2718,865,2.29,0.73
1_Month,80-89,126,21,2.02,0.34
3_Month,80-89,1068,313,3.46,1.01
6_Month,80-89,1136,341,3.47,1.04
1_Year,80-89,1175,353,3.14,0.94
All,80-89,1188,383,2.4,0.77
1_Month,90+,43,4,3.34,0.31
3_Month,90+,364,76,4.62,0.96
6_Month,90+,396,84,4.76,1.01
1_Year,90+,413,88,4.31,0.92
All,90+,420,99,3.08,0.73
