instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,68.8,43.1,2022-09-04T00:00:00.000Z
Rabin K. Hasharon             ,73.7,67.6,2022-09-04T00:00:00.000Z
Bnei Ziom Medical Center      ,76,83.6,2022-09-04T00:00:00.000Z
Poriah Hospital               ,78.2,71.8,2022-09-04T00:00:00.000Z
Woolfson Medical Center       ,81.1,75.3,2022-09-04T00:00:00.000Z
Meir Hospital                 ,83,87.5,2022-09-04T00:00:00.000Z
Hacarmel Hospital             ,84.9,76.1,2022-09-04T00:00:00.000Z
Haemek Valley Center Hospital ,85.2,71,2022-09-04T00:00:00.000Z
Barzilai Medical Center       ,86.5,77,2022-09-04T00:00:00.000Z
Shmuel Harofe                 ,86.1,78,2022-09-04T00:00:00.000Z
Hadassah Mount Scopus         ,88.9,75,2022-09-04T00:00:00.000Z
      Ziv Hospital            ,89.1,76.1,2022-09-04T00:00:00.000Z
Soroka Medical Center         ,89.9,89.1,2022-09-04T00:00:00.000Z
Assaf Harofeh Medical Center  ,96.5,69.1,2022-09-04T00:00:00.000Z
Chaim Sheba Medical Center    ,102.9,102.2,2022-09-04T00:00:00.000Z
Rambam                        ,103.5,83.4,2022-09-04T00:00:00.000Z
Laniado                       ,107.7,116.2,2022-09-04T00:00:00.000Z
Hillel Yaffeh Medical Center  ,115.1,90.1,2022-09-04T00:00:00.000Z
Kaplan Hospital               ,117.3,96.3,2022-09-04T00:00:00.000Z
Rabin K. Beilinson            ,117.6,90.2,2022-09-04T00:00:00.000Z
Nahariya                      ,118.9,96.6,2022-09-04T00:00:00.000Z
Hadassah Ein Kerem            ,124.3,94.2,2022-09-04T00:00:00.000Z
Assuta Ashdod                 ,130.5,97.3,2022-09-04T00:00:00.000Z
