age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,177338,60313,34,14.3,4.9,0,3.3,96.7,0
12-15,393762,318298,17803,61.9,50,2.8,58.8,41.18,0.02
16-19,521337,453780,224518,88.2,76.7,38,65.84,20.61,13.55
20-29,1118004,999482,676879,84.7,75.8,51.3,68.09,15.24,16.67
30-39,1065619,977126,682452,88.3,80.9,56.5,71.37,12.22,16.41
40-49,999391,929392,712865,90,83.7,64.2,77.16,10.24,12.6
50-59,793040,747548,617142,90.7,85.5,70.6,81.34,8.56,10.11
60-69,690775,664988,583173,92.4,89,78,85.99,7.48,6.54
70-79,477494,467361,441221,90.6,88.7,83.7,88.94,6.04,5.02
80-89,216052,210775,193014,90.5,88.3,80.9,85.84,7.06,7.11
90+,49196,47414,42352,83.8,80.8,72.2,76.7,10.49,12.8
