period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,216,1012,4.03,18.86
3_Month,5-11,743,5308,1.51,10.8
6_Month,5-11,2010,40712,0.44,8.85
1_Year,5-11,2010,42207,0.34,7.18
All,5-11,2010,42438,0.29,6.15
1_Month,12-15,174,258,5.77,8.56
3_Month,12-15,846,1436,3.48,5.9
6_Month,12-15,6884,14929,3.11,6.75
1_Year,12-15,6945,15976,2.65,6.1
All,12-15,6945,16230,2.1,4.92
1_Month,16-19,191,75,9.39,3.69
3_Month,16-19,1273,615,5.83,2.82
6_Month,16-19,11103,8780,6.19,4.89
1_Year,16-19,11291,9767,5.44,4.71
All,16-19,11302,10048,3.89,3.46
1_Month,20-29,516,184,8.55,3.05
3_Month,20-29,4142,1426,6.35,2.19
6_Month,20-29,26226,16176,6.99,4.31
1_Year,20-29,26661,18291,6.01,4.13
All,20-29,26692,18746,4.46,3.14
1_Month,30-39,610,231,7.36,2.79
3_Month,30-39,4180,1574,5.46,2.06
6_Month,30-39,23740,14367,5.83,3.53
1_Year,30-39,24116,15897,5.05,3.33
All,30-39,24168,16214,4.08,2.74
1_Month,40-49,563,152,6.51,1.76
3_Month,40-49,3548,1173,4.82,1.59
6_Month,40-49,20721,10611,5.53,2.83
1_Year,40-49,21036,11538,4.91,2.69
All,40-49,21095,11774,4,2.23
1_Month,50-59,390,74,5.11,0.97
3_Month,50-59,2445,711,4.17,1.21
6_Month,50-59,12800,5687,5.08,2.26
1_Year,50-59,12973,6073,4.61,2.16
All,50-59,13019,6236,3.68,1.76
1_Month,60-69,299,53,3.63,0.64
3_Month,60-69,1588,376,3.15,0.75
6_Month,60-69,7245,2988,4.09,1.69
1_Year,60-69,7356,3128,3.76,1.6
All,60-69,7389,3211,3.06,1.33
1_Month,70-79,156,26,2.26,0.38
3_Month,70-79,697,118,2,0.34
6_Month,70-79,2919,852,2.94,0.86
1_Year,70-79,2985,894,2.73,0.82
All,70-79,3005,943,2.27,0.71
1_Month,80+,102,19,3.43,0.64
3_Month,80+,415,78,2.64,0.5
6_Month,80+,1729,464,3.64,0.98
1_Year,80+,1774,487,3.31,0.91
All,80+,1803,532,2.58,0.76
