age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,366792,301811,611,57.7,47.5,0.1,58.28,41.7,0.01
16-19,517008,449410,203156,87.4,76,34.4,63.61,21.05,15.34
20-29,1109333,990496,647468,84.1,75.1,49.1,65.95,16.07,17.98
30-39,1059294,970649,655634,87.7,80.4,54.3,69.49,12.84,17.67
40-49,995059,924457,694658,89.6,83.2,62.5,75.76,10.7,13.54
50-59,790461,744177,606264,90.4,85.1,69.3,80.18,9.12,10.71
60-69,689232,662801,577127,92.2,88.7,77.2,85.41,7.76,6.83
70-79,476673,466144,437754,90.5,88.5,83.1,87.88,6.9,5.22
80-89,215738,210266,191566,90.4,88.1,80.2,84.98,7.72,7.3
90+,49095,47299,41942,83.7,80.6,71.5,75.14,11.98,12.88
