period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,171,355,18.21,37.81
3_Month,5-11,471,1037,15.93,35.08
6_Month,5-11,3149,10771,9.33,31.92
1_Year,5-11,5184,51611,1.05,10.45
All,5-11,5184,53379,0.72,7.37
1_Month,12-15,306,137,32.87,14.72
3_Month,12-15,673,416,26.11,16.14
6_Month,12-15,2407,2725,14.02,15.87
1_Year,12-15,9312,17692,3.9,7.41
All,12-15,9375,19029,2.7,5.47
1_Month,16-19,750,88,46.44,5.45
3_Month,16-19,1213,192,38.36,6.07
6_Month,16-19,4510,1273,22.89,6.46
1_Year,16-19,15647,10065,7.84,5.04
All,16-19,15859,11338,5.11,3.65
1_Month,20-29,1866,165,44.48,3.93
3_Month,20-29,3086,356,36.88,4.25
6_Month,20-29,13249,3123,21.94,5.17
1_Year,20-29,39576,19326,9.06,4.43
All,20-29,40066,21909,6.07,3.32
1_Month,30-39,1790,203,39.65,4.5
3_Month,30-39,3191,460,32.48,4.68
6_Month,30-39,14764,3980,19.9,5.36
1_Year,30-39,38617,18385,8,3.81
All,30-39,39060,20243,5.85,3.03
1_Month,40-49,2218,174,42.74,3.35
3_Month,40-49,3816,425,34.16,3.8
6_Month,40-49,14712,3107,19.36,4.09
1_Year,40-49,35543,13752,7.86,3.04
All,40-49,35938,14925,5.94,2.47
1_Month,50-59,1811,174,34.33,3.3
3_Month,50-59,3108,341,26.53,2.91
6_Month,50-59,10835,1949,14.8,2.66
1_Year,50-59,23717,7646,7.26,2.34
All,50-59,23958,8203,5.59,1.92
1_Month,60-69,1424,105,24.56,1.81
3_Month,60-69,2611,189,18.8,1.36
6_Month,60-69,8458,1097,10.46,1.36
1_Year,60-69,15769,4089,6.08,1.58
All,60-69,15934,4315,4.91,1.33
1_Month,70-79,952,56,16.74,0.98
3_Month,70-79,1890,101,12.87,0.69
6_Month,70-79,5581,488,7.47,0.65
1_Year,70-79,8545,1337,4.87,0.76
All,70-79,8638,1431,4.14,0.69
1_Month,80+,679,63,17.64,1.64
3_Month,80+,1225,113,13.87,1.28
6_Month,80+,3768,378,9.06,0.91
1_Year,80+,5517,844,6.15,0.94
All,80+,5597,914,4.99,0.81
