age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1,61,116,21.7,27.9,12.2,0,0,0,0,0,0
12-15,4,134,48,77.7,42.1,16.9,0,0,0,0,0,0
16-19,7,458,51,194,105.1,36.7,0,0,0,0,0,0
20-29,16,1036,116,157.9,92.3,70.4,0,0,1,0,0,0.6
30-39,27,992,145,191.5,94.1,117.9,0,0,0,0,0,0
40-49,41,1110,96,210.7,112.7,102.8,0,1,1,0,0.1,1.1
50-59,74,1154,87,251.2,146.6,176.4,0,4,0,0,0.5,0
60-69,207,1614,120,321.2,259.7,220.7,1,14,5,1.6,2.3,9.2
70-79,428,1580,100,437.9,380.8,1705.6,2,22,2,2,5.3,34.1
80+,373,1248,127,640.9,603.7,959.5,5,50,12,8.6,24.2,90.7
