age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0.1,0,21.2,77,1.8
12-15,65.6,54.6,14.7,0,34.7,42.6,22.7
16-19,89.2,78.2,45.9,0.2,31.7,22.3,46
20-29,85.6,77,54.7,0.8,28.2,13.5,58.4
30-39,88.9,81.9,59.6,1.9,31.9,10.6,57.4
40-49,90.5,84.7,67,3.3,33.1,9.1,57.7
50-59,91.2,86.5,73.2,6.9,32.6,7,60.5
60-69,93.1,90.2,80.8,33.6,50.3,7.9,41.8
70-79,92,90.6,87.3,54.1,64.4,4.7,30.9
80+,95.3,93.2,87.5,57.6,64.5,6.4,29.1
