age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.8,0.2,0,0.29,81.31,18.4
12-15,65.7,54.7,15,0,0.74,47.43,51.83
16-19,89.3,78.3,46,0.2,0.61,24.38,75.01
20-29,85.7,77.2,54.8,0.9,0.86,12.58,86.56
30-39,89,82.1,59.8,2.1,1.42,10.25,88.33
40-49,90.6,84.8,67.1,3.6,2.17,8.4,89.43
50-59,91.3,86.6,73.4,7.4,4.26,5.48,90.26
60-69,93.2,90.4,80.9,34.2,11.57,7.29,81.14
70-79,92.1,90.7,87.4,54.8,25.21,0.49,74.29
80+,95.3,93.3,87.6,58.2,27.25,4.48,68.27
