age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,278786,188812,618088,45.1,30.5,34,0
16-19,469632,405255,583545,80.5,69.4,1458,0.2
20-29,1042902,947172,1300361,80.2,72.8,20011,1.5
30-39,1011085,937624,1197026,84.5,78.3,132698,11.1
40-49,960450,897861,1098556,87.4,81.7,299684,27.3
50-59,770111,725721,849966,90.6,85.4,395473,46.5
60-69,679001,650756,741639,91.6,87.7,477544,64.4
70-79,471734,459176,490784,96.1,93.6,389431,79.3
80-89,213537,207422,225538,94.7,92,169757,75.3
90+,48531,46669,51496,94.2,90.6,36089,70.1
