age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1,31,70,45.3,14.4,7.3,0,0,0,0,0,0
12-15,2,61,16,54.9,19.5,5.5,0,1,0,0,0.3,0
16-19,6,472,38,185.6,109.1,26.8,0,0,1,0,0,0.7
20-29,13,749,82,119,66.6,50.5,0,0,0,0,0,0
30-39,23,490,65,134.7,46.6,53.2,0,0,0,0,0,0
40-49,37,536,69,155.6,54.6,75.3,0,0,1,0,0,1.1
50-59,42,550,69,111.5,70.4,148,0,8,2,0,1,4.3
60-69,183,911,88,206.8,152.7,159.4,0,15,3,0,2.5,5.4
70-79,395,837,74,289.8,220.3,3339.4,4,24,5,2.9,6.3,225.6
80+,396,793,126,500.1,414.3,1679.6,7,33,7,8.8,17.2,93.3
