age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
12-15,27,0,281,7.6,0,111,0,0,0,0,0,0
16-19,23,35,111,6.4,39.1,92.2,0,0,0,0,0,0
20-29,52,123,296,6.2,52.7,142.4,0,1,5,0,0.4,2.4
30-39,116,172,289,14.3,81.8,190,0,0,8,0,0,5.3
40-49,112,109,244,13.6,73,208,1,0,20,0.1,0,17
50-59,56,36,135,8.1,38.7,170,1,2,29,0.1,2.1,36.5
60-69,65,30,78,10.3,58.8,134.8,4,2,29,0.6,3.9,50.1
70-79,56,8,44,12.2,29.1,119.2,9,0,13,2,0,35.2
80-89,20,8,27,10,46.3,145.9,3,0,7,1.5,0,37.8
90+,3,1,4,7,13.6,57.3,0,0,0,0,0,0
