age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
12-15,364207,299579,568,57.3,47.1,0.1,58.22,41.77,0.01
16-19,516086,448248,199851,87.3,75.8,33.8,63.12,21.14,15.74
20-29,1107361,988339,640354,83.9,74.9,48.5,65.46,16.27,18.28
30-39,1058024,969331,649815,87.6,80.3,53.8,69.12,12.96,17.92
40-49,994260,923430,690829,89.5,83.1,62.2,75.48,10.79,13.73
50-59,789978,743499,604118,90.3,85,69.1,79.95,9.22,10.82
60-69,688925,662332,575862,92.2,88.6,77.1,85.28,7.82,6.9
70-79,476521,465893,437090,90.4,88.4,83,87.69,7.06,5.25
80-89,215671,210132,191307,90.3,88,80.1,84.81,7.85,7.33
90+,49080,47269,41864,83.6,80.5,71.3,74.9,12.22,12.88
