period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,206,472,14.71,33.71
3_Month,5-11,1441,4583,10.56,33.58
6_Month,5-11,3285,12249,7.17,26.73
1_Year,5-11,4939,51304,0.97,10.06
All,5-11,4939,52865,0.68,7.31
1_Month,12-15,230,201,19.9,17.39
3_Month,12-15,945,1060,15.79,17.71
6_Month,12-15,2308,3027,10.17,13.33
1_Year,12-15,8896,17592,3.69,7.3
All,12-15,8949,18829,2.58,5.44
1_Month,16-19,220,59,26.54,7.12
3_Month,16-19,1926,549,24.38,6.95
6_Month,16-19,4013,1346,17.5,5.87
1_Year,16-19,14690,10026,7.37,5.03
All,16-19,14892,11213,4.83,3.64
1_Month,20-29,580,102,26.42,4.65
3_Month,20-29,6160,1459,23.11,5.47
6_Month,20-29,12203,3375,16.89,4.67
1_Year,20-29,37175,19279,8.54,4.43
All,20-29,37632,21672,5.76,3.31
1_Month,30-39,760,145,25.21,4.81
3_Month,30-39,7207,1905,21.83,5.77
6_Month,30-39,14036,4245,15.11,4.57
1_Year,30-39,36294,18244,7.54,3.79
All,30-39,36699,19948,5.55,3.01
1_Month,40-49,801,152,23.78,4.51
3_Month,40-49,6609,1509,20.15,4.6
6_Month,40-49,13227,3304,14.16,3.54
1_Year,40-49,32663,13587,7.27,3.03
All,40-49,33024,14667,5.53,2.46
1_Month,50-59,634,88,17.73,2.46
3_Month,50-59,4900,898,15.34,2.81
6_Month,50-59,9494,1940,10.88,2.22
1_Year,50-59,21331,7441,6.65,2.32
All,50-59,21555,7957,5.13,1.89
1_Month,60-69,558,47,12.92,1.09
3_Month,60-69,3898,545,10.71,1.5
6_Month,60-69,7225,1111,7.67,1.18
1_Year,60-69,13770,3965,5.47,1.58
All,60-69,13928,4180,4.42,1.33
1_Month,70-79,466,26,9.2,0.51
3_Month,70-79,2666,256,7.75,0.74
6_Month,70-79,4612,473,5.54,0.57
1_Year,70-79,7170,1269,4.29,0.76
All,70-79,7255,1360,3.63,0.68
1_Month,80+,281,30,10.35,1.1
3_Month,80+,1960,204,9.49,0.99
6_Month,80+,3101,340,7.01,0.77
1_Year,80+,4603,767,5.46,0.91
All,80+,4681,833,4.4,0.78
