age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,9,28,76,157.3,12.5,8.1,0,0,0,0,0,0
12-15,6,49,19,101,15,6.8,0,0,0,0,0,0
16-19,10,172,27,264.8,39.1,19.9,0,0,0,0,0,0
20-29,16,397,46,144.8,35.5,27.3,0,0,1,0,0,0.6
30-39,17,364,62,154.9,34.5,49.9,0,0,0,0,0,0
40-49,19,430,53,142.4,43.5,55.3,0,1,0,0,0.1,0
50-59,23,504,40,133.3,63.4,75.1,0,2,4,0,0.3,7.5
60-69,65,1007,68,291.8,152,122.5,0,9,4,0,1.4,7.2
70-79,87,1323,68,476,271.1,550.8,2,15,3,10.9,3.1,24.3
80+,47,961,65,550.1,377.5,430,3,27,4,35.1,10.6,26.5
