age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0,0,23.5,76.4,0.1
12-15,65.6,54.5,14.6,0,43.1,41.9,15
16-19,89.2,78.1,45.8,0.2,49.5,22,28.5
20-29,85.6,77,54.6,0.8,49.7,13.5,36.8
30-39,88.9,81.9,59.6,1.9,52.7,10.7,36.7
40-49,90.5,84.6,66.9,3.2,54.3,9.2,36.5
50-59,91.2,86.5,73.2,6.6,53.8,7.1,39
60-69,93.1,90.2,80.7,33.2,64.8,7.9,27.2
70-79,92,90.6,87.2,53.6,74.2,5.1,20.7
80+,95.2,93.2,87.4,57.3,73.3,6.4,20.3
