age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,309329,210344,635971,48.6,33.1,176,0
16-19,483275,412905,591331,81.7,69.8,69653,11.8
20-29,1054199,954178,1319364,79.9,72.3,250256,19
30-39,1019879,942614,1207243,84.5,78.1,324690,26.9
40-49,966663,902164,1110965,87,81.2,449176,40.4
50-59,773560,728656,874608,88.4,83.3,466058,53.3
60-69,680720,652578,747217,91.1,87.3,508355,68
70-79,472687,460218,526929,89.7,87.3,404648,76.8
80-89,213916,207795,238729,89.6,87,176700,74
90+,48634,46749,58687,82.9,79.7,37806,64.4
