age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,305,0,534,106.6,,57.8,0,0,0,0,,0
12-15,274,136,136,100.1,148.1,52.2,0,0,1,0,0,0.4
16-19,325,46,54,86.2,57.3,42,0,0,0,0,0,0
20-29,888,114,156,93.2,63,87.8,1,0,1,0.1,0,0.6
30-39,1105,123,172,121.4,75.5,133.3,0,0,1,0,0,0.8
40-49,1212,92,131,136.8,77.8,128.1,0,1,3,0,0.8,2.9
50-59,1144,66,111,156.6,85.6,175.8,5,1,3,0.7,1.3,4.8
60-69,1719,58,152,266.2,151.5,255.8,14,1,4,2.2,2.6,6.7
70-79,1641,44,128,346.7,235.5,456.6,23,3,5,4.9,16.1,17.8
80+,882,30,79,356.4,223.6,432.9,17,3,7,6.9,22.4,38.4
