period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,152,299,19.51,38.38
3_Month,5-11,391,803,17.79,36.53
6_Month,5-11,2310,7227,10.73,33.58
1_Year,5-11,5313,51664,1.09,10.62
All,5-11,5317,53637,0.73,7.4
1_Month,12-15,310,152,37.9,18.58
3_Month,12-15,701,344,33.02,16.2
6_Month,12-15,1912,1775,18.93,17.57
1_Year,12-15,9525,17710,4.03,7.49
All,12-15,9636,19164,2.77,5.5
1_Month,16-19,921,118,47.33,6.06
3_Month,16-19,1821,242,44.56,5.92
6_Month,16-19,4200,957,29.11,6.63
1_Year,16-19,16397,10111,8.21,5.06
All,16-19,16670,11444,5.34,3.67
1_Month,20-29,2230,209,46.86,4.39
3_Month,20-29,4561,437,43.4,4.16
6_Month,20-29,12141,2368,27.18,5.3
1_Year,20-29,41415,19388,9.46,4.43
All,20-29,42043,22092,6.33,3.33
1_Month,30-39,2273,280,43.78,5.39
3_Month,30-39,4468,570,38.67,4.93
6_Month,30-39,13420,3058,24.7,5.63
1_Year,30-39,40452,18518,8.37,3.83
All,30-39,41032,20487,6.1,3.05
1_Month,40-49,2657,215,47.14,3.81
3_Month,40-49,5388,474,41.57,3.66
6_Month,40-49,13576,2401,24.6,4.35
1_Year,40-49,37764,13867,8.31,3.05
All,40-49,38262,15117,6.28,2.48
1_Month,50-59,2226,195,38.63,3.38
3_Month,50-59,4506,438,33.08,3.22
6_Month,50-59,10467,1581,19.27,2.91
1_Year,50-59,25617,7785,7.76,2.36
All,50-59,25914,8375,5.98,1.93
1_Month,60-69,1832,123,29.61,1.99
3_Month,60-69,3761,253,24.35,1.64
6_Month,60-69,8430,944,13.81,1.55
1_Year,60-69,17336,4180,6.57,1.59
All,60-69,17545,4420,5.32,1.34
1_Month,70-79,1209,68,20.14,1.13
3_Month,70-79,2605,141,16.56,0.9
6_Month,70-79,5650,452,9.82,0.79
1_Year,70-79,9613,1397,5.33,0.78
All,70-79,9721,1493,4.54,0.7
1_Month,80+,834,82,18.62,1.83
3_Month,80+,1738,158,16.48,1.5
6_Month,80+,3943,388,11.21,1.1
1_Year,80+,6241,913,6.68,0.98
All,80+,6324,983,5.44,0.85
