age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,255626,179814,618088,41.4,29.1,10,0
16-19,462233,402478,583545,79.2,69,202,0
20-29,1038145,945187,1300361,79.8,72.7,2952,0.2
30-39,1006180,935378,1197026,84.1,78.1,17926,1.5
40-49,956230,895173,1098556,87,81.5,119582,10.9
50-59,767730,723775,849966,90.3,85.2,310648,36.5
60-69,677784,649657,741639,91.4,87.6,442837,59.7
70-79,471016,458582,490784,96,93.4,371100,75.6
80-89,213237,207179,225538,94.5,91.9,161139,71.4
90+,48454,46627,51496,94.1,90.5,33991,66
