age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,341717,267283,635971,53.7,42,348,0.1
16-19,498269,431932,591331,84.3,73,140909,23.8
20-29,1072874,968107,1319364,81.3,73.4,468179,35.5
30-39,1034782,954646,1207243,85.7,79.1,517801,42.9
40-49,977948,912331,1110965,88,82.1,600326,54
50-59,780108,735940,874608,89.2,84.1,549848,62.9
60-69,683789,657425,747217,91.5,88,547913,73.3
70-79,474023,462924,526929,90,87.9,422754,80.2
80-89,214548,208811,238729,89.9,87.5,184253,77.2
90+,48775,46958,58687,83.1,80,39692,67.6
