age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,79899,272,29,6.5,0,0,0.03,99.96,0
12-15,379307,304698,2381,59.6,47.9,0.4,58.47,41.52,0.01
16-19,518476,450972,209485,87.7,76.3,35.4,64.3,20.91,14.79
20-29,1112283,993561,658317,84.3,75.3,49.9,66.59,15.74,17.67
30-39,1061551,972796,665639,87.9,80.6,55.1,70.01,12.62,17.37
40-49,996586,926112,701314,89.7,83.4,63.1,76.18,10.53,13.29
50-59,791372,745341,610300,90.5,85.2,69.8,80.53,8.9,10.57
60-69,689751,663515,579254,92.3,88.8,77.5,85.57,7.65,6.78
70-79,476962,466508,438927,90.5,88.5,83.3,88.24,6.58,5.19
80-89,215846,210450,192128,90.4,88.2,80.5,85.26,7.47,7.27
90+,49131,47336,42091,83.7,80.7,71.7,75.61,11.47,12.92
