age_group,vaccinated_first_dose,vaccinated_second_dose,vaccinated_third_dose,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,55264,259,29,4.5,0,0,0.03,99.97,0
12-15,375552,303710,1338,59.1,47.8,0.2,58.42,41.57,0.01
16-19,518016,450481,207147,87.6,76.2,35,64.07,20.93,15
20-29,1111399,992533,654670,84.2,75.2,49.6,66.33,15.86,17.81
30-39,1060851,972127,662273,87.9,80.5,54.9,69.8,12.7,17.5
40-49,996116,925586,699109,89.7,83.3,62.9,76.01,10.59,13.4
50-59,791074,744962,608858,90.4,85.2,69.6,80.38,8.97,10.64
60-69,689602,663291,578600,92.3,88.8,77.4,85.5,7.69,6.8
70-79,476889,466385,438547,90.5,88.5,83.2,88.11,6.7,5.2
80-89,215810,210407,191961,90.4,88.1,80.4,85.16,7.56,7.28
90+,49123,47327,42054,83.7,80.6,71.7,75.46,11.66,12.88
