period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,85,181,15.68,33.39
3_Month,5-11,500,1245,13.33,33.2
6_Month,5-11,3188,11450,8.36,30.03
1_Year,5-11,5014,51324,1,10.28
All,5-11,5014,53028,0.69,7.33
1_Month,12-15,126,69,28.51,15.61
3_Month,12-15,518,437,20.38,17.19
6_Month,12-15,2277,2860,11.79,14.81
1_Year,12-15,9012,17579,3.77,7.36
All,12-15,9070,18895,2.62,5.45
1_Month,16-19,248,42,35.03,5.93
3_Month,16-19,803,195,27.88,6.77
6_Month,16-19,3971,1262,19.63,6.24
1_Year,16-19,14910,9995,7.52,5.04
All,16-19,15118,11250,4.9,3.64
1_Month,20-29,676,85,34.65,4.36
3_Month,20-29,2395,426,26.34,4.68
6_Month,20-29,11971,3145,19.09,5.02
1_Year,20-29,37747,19202,8.7,4.43
All,20-29,38224,21744,5.83,3.32
1_Month,30-39,661,114,28.94,4.99
3_Month,30-39,2688,575,24.22,5.18
6_Month,30-39,13636,4022,17.41,5.14
1_Year,30-39,36860,18216,7.68,3.8
All,30-39,37291,20042,5.62,3.02
1_Month,40-49,794,94,30.54,3.62
3_Month,40-49,2871,500,23.98,4.18
6_Month,40-49,13116,3101,16.42,3.88
1_Year,40-49,33362,13601,7.44,3.03
All,40-49,33740,14752,5.63,2.46
1_Month,50-59,691,86,23.33,2.9
3_Month,50-59,2263,315,18.21,2.53
6_Month,50-59,9456,1851,12.43,2.43
1_Year,50-59,21930,7488,6.81,2.32
All,50-59,22162,8032,5.24,1.9
1_Month,60-69,658,39,17.03,1.01
3_Month,60-69,1999,201,13.1,1.32
6_Month,60-69,7365,1050,8.79,1.25
1_Year,60-69,14358,3990,5.65,1.57
All,60-69,14520,4213,4.56,1.32
1_Month,70-79,498,23,11.88,0.55
3_Month,70-79,1556,99,9.69,0.62
6_Month,70-79,4813,457,6.29,0.6
1_Year,70-79,7604,1285,4.47,0.76
All,70-79,7694,1378,3.79,0.68
1_Month,80+,297,25,12.02,1.01
3_Month,80+,1054,96,11.08,1.01
6_Month,80+,3194,332,7.79,0.81
1_Year,80+,4842,785,5.63,0.91
All,80+,4922,852,4.54,0.79
