age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,424,0,818,147.1,,88.8,0,0,0,0,,0
12-15,304,161,163,108.7,183.1,63.1,0,0,0,0,0,0
16-19,438,66,75,114.8,85.9,58.7,0,0,1,0,0,0.8
20-29,1205,153,229,126.2,86,128.6,0,0,2,0,0,1.1
30-39,1604,194,251,175.7,120.5,195.3,1,0,3,0.1,0,2.3
40-49,1628,131,206,183.4,111.8,202.9,0,3,4,0,2.6,3.9
50-59,1501,104,136,205.4,136.3,213.1,4,1,7,0.5,1.3,11
60-69,2388,90,191,369.4,237.7,323.6,17,2,5,2.6,5.3,8.5
70-79,2171,62,149,459.7,336.5,507.4,26,4,5,5.5,21.7,17
80+,1491,54,171,602.3,405.8,935.1,41,4,12,16.6,30.1,65.6
