period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,210,1397,1.83,12.15
3_Month,5-11,1074,14742,0.68,9.37
6_Month,5-11,1839,39955,0.4,8.67
1_Year,5-11,1839,41403,0.32,7.09
All,5-11,1839,41594,0.27,6.07
1_Month,12-15,200,361,3.77,6.8
3_Month,12-15,2235,3978,3.23,5.75
6_Month,12-15,6781,14750,3.09,6.71
1_Year,12-15,6840,15779,2.64,6.08
All,12-15,6840,15983,2.09,4.88
1_Month,16-19,321,179,7.1,3.96
3_Month,16-19,3072,1480,5.61,2.7
6_Month,16-19,10955,8737,6.15,4.9
1_Year,16-19,11135,9709,5.41,4.71
All,16-19,11145,9985,3.86,3.46
1_Month,20-29,1038,464,6.79,3.04
3_Month,20-29,8108,3039,6.5,2.44
6_Month,20-29,25816,16072,6.95,4.33
1_Year,20-29,26237,18152,5.98,4.14
All,20-29,26263,18597,4.43,3.14
1_Month,30-39,1278,508,5.83,2.32
3_Month,30-39,8381,3404,5.41,2.2
6_Month,30-39,23269,14206,5.79,3.54
1_Year,30-39,23628,15716,5.02,3.34
All,30-39,23671,16022,4.04,2.74
1_Month,40-49,1082,409,5.22,1.97
3_Month,40-49,7055,2480,4.84,1.7
6_Month,40-49,20292,10510,5.5,2.85
1_Year,40-49,20587,11420,4.88,2.71
All,40-49,20628,11646,3.97,2.24
1_Month,50-59,772,251,4.33,1.41
3_Month,50-59,4550,1398,4.42,1.36
6_Month,50-59,12498,5646,5.07,2.29
1_Year,50-59,12659,6021,4.59,2.18
All,50-59,12700,6179,3.66,1.78
1_Month,60-69,571,138,3.25,0.79
3_Month,60-69,2630,738,3.44,0.96
6_Month,60-69,7032,2949,4.12,1.73
1_Year,60-69,7136,3085,3.78,1.63
All,60-69,7160,3162,3.05,1.34
1_Month,70-79,286,57,2.2,0.44
3_Month,70-79,1040,245,2.24,0.53
6_Month,70-79,2804,830,2.99,0.88
1_Year,70-79,2865,874,2.76,0.84
All,70-79,2883,921,2.27,0.73
1_Month,80+,180,32,2.78,0.49
3_Month,80+,595,151,2.7,0.68
6_Month,80+,1656,451,3.66,1
1_Year,80+,1705,473,3.33,0.92
All,80+,1727,517,2.56,0.77
