age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,2972,2,5209,1015.1,,570.5,0,0,2,0,,0.2
12-15,2259,499,1124,676.8,1232.4,458.8,2,0,0,0.6,0,0
16-19,3029,446,663,750.8,747.9,574.3,2,0,1,0.5,0,0.9
20-29,6068,755,1242,632,492.1,685.3,0,0,2,0,0,1.1
30-39,7896,995,1590,858.9,747.8,1185.4,5,1,8,0.5,0.8,6
40-49,7462,665,1234,833.7,683.5,1192.4,12,6,12,1.3,6.2,11.6
50-59,5366,431,820,731.9,651.1,1235.3,25,8,25,3.4,12.1,37.7
60-69,5321,349,823,816.7,914.1,1551.9,61,10,34,9.4,26.2,64.1
70-79,3419,199,566,714.5,912.1,2375.4,66,14,61,13.8,64.2,256
80-89,1951,146,439,929,1003.8,3710.6,68,15,59,32.4,103.1,498.7
90+,686,38,166,1442,550.2,6065,24,5,11,50.4,72.4,401.9
