age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,24.8,16.1,0,0,21.12,78.88,0
12-15,65.4,53.9,13.7,0,57.96,39.45,2.59
16-19,89.2,77.8,45.1,0,69.74,19.88,10.38
20-29,85.5,76.6,53.9,0.3,72.54,14.29,13.17
30-39,88.9,81.7,59,0.9,75.56,11.46,12.98
40-49,90.4,84.3,66.3,1.4,80.26,9.62,10.11
50-59,91,86.1,72.5,2.5,83.66,7.93,8.41
60-69,92.7,89.6,79.9,27.5,87.15,7.23,5.62
70-79,90.8,89.3,85.6,45.3,90.31,5.25,4.44
80-89,90.8,88.9,83.1,47.3,87.89,5.64,6.47
90+,84.3,81.5,75.5,45,81.21,6.43,12.36
