age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,8,19,50,154.1,8.5,5.3,0,0,0,0,0,0
12-15,8,48,17,149.1,14.8,6.1,0,0,0,0,0,0
16-19,10,173,19,288.2,39.5,13.9,0,0,0,0,0,0
20-29,13,402,41,133.3,35.9,24.5,0,0,2,0,0,1.2
30-39,15,363,48,143.2,34.3,38.7,0,0,0,0,0,0
40-49,14,449,43,104.8,45.4,45.2,0,2,0,0,0.2,0
50-59,23,505,35,129.2,63.4,67.1,0,6,4,0,0.8,7.7
60-69,69,986,55,261.9,149.6,99.8,0,9,4,0,1.4,7.3
70-79,111,1099,64,371.1,229.8,619.9,2,19,7,6.7,4,67.8
80+,63,843,59,420.6,338.9,407.9,2,31,8,13.4,12.5,55.3
