age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,7.1,78.3,14.6
12-15,65.6,54.6,14.9,0,11.8,43.5,44.7
16-19,89.3,78.2,46,0.2,12.8,22.7,64.5
20-29,85.6,77.1,54.7,0.8,13.3,13.3,73.4
30-39,88.9,82,59.7,2,15.2,10.6,74.3
40-49,90.6,84.7,67,3.5,15.6,9,75.4
50-59,91.2,86.6,73.3,7.2,16.2,6.7,77
60-69,93.2,90.3,80.8,34,13.7,7.7,78.6
70-79,92.1,90.6,87.4,54.6,13.3,3.9,82.8
80+,95.3,93.2,87.5,58,12.3,6.1,81.6
