instituteDesc,occupancy,gOccupancy,occupancyDate
Yosephtal Hospital            ,43.8,46.2,2022-07-28T00:00:00.000Z
Rabin K. Hasharon             ,59.6,65.1,2022-07-28T00:00:00.000Z
Hacarmel Hospital             ,68.9,81.8,2022-07-28T00:00:00.000Z
Laniado                       ,69.2,100.8,2022-07-28T00:00:00.000Z
Woolfson Medical Center       ,70.1,79.1,2022-07-28T00:00:00.000Z
Assaf Harofeh Medical Center  ,73.7,74.7,2022-07-28T00:00:00.000Z
Barzilai Medical Center       ,74,88.1,2022-07-28T00:00:00.000Z
Soroka Medical Center         ,74,83.5,2022-07-28T00:00:00.000Z
Poriah Hospital               ,76.9,73.5,2022-07-28T00:00:00.000Z
Shmuel Harofe                 ,80.6,82.7,2022-07-28T00:00:00.000Z
Kaplan Hospital               ,83.3,92.8,2022-07-28T00:00:00.000Z
Bnei Ziom Medical Center      ,84.3,92.1,2022-07-28T00:00:00.000Z
Haemek Valley Center Hospital ,87.7,79.6,2022-07-28T00:00:00.000Z
Shaare Zedek                  ,90.7,112.1,2022-07-28T00:00:00.000Z
Rambam                        ,94.4,94,2022-07-28T00:00:00.000Z
Hillel Yaffeh Medical Center  ,96.6,87.8,2022-07-28T00:00:00.000Z
Chaim Sheba Medical Center    ,96.7,108.9,2022-07-28T00:00:00.000Z
Nahariya                      ,97.9,94.1,2022-07-28T00:00:00.000Z
      Ziv Hospital            ,101.6,86.2,2022-07-28T00:00:00.000Z
Assuta Ashdod                 ,108.5,112.6,2022-07-28T00:00:00.000Z
Rabin K. Beilinson            ,110.1,100,2022-07-28T00:00:00.000Z
