period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1478,5410,9.1,33.31
3_Month,5-11,2631,10118,7.64,29.37
6_Month,5-11,3874,30902,1.48,11.81
1_Year,5-11,4426,51170,0.72,8.37
All,5-11,4426,51547,0.62,7.17
1_Month,12-15,815,1067,13.73,17.97
3_Month,12-15,1756,2407,10.39,14.24
6_Month,12-15,4900,8001,4.27,6.97
1_Year,12-15,8526,18013,3.12,6.6
All,12-15,8527,18380,2.48,5.34
1_Month,16-19,1818,572,22.25,7
3_Month,16-19,3082,1049,17.99,6.12
6_Month,16-19,7550,3306,7.89,3.46
1_Year,16-19,14150,10715,6.39,4.84
All,16-19,14192,11024,4.65,3.61
1_Month,20-29,5801,1590,21.57,5.91
3_Month,20-29,9250,2663,17.52,5.04
6_Month,20-29,20395,7132,9.17,3.21
1_Year,20-29,35357,20709,7.26,4.25
All,20-29,35421,21228,5.49,3.29
1_Month,30-39,6868,1997,20.21,5.88
3_Month,30-39,10603,3348,15.96,5.04
6_Month,30-39,21938,8320,8.05,3.05
1_Year,30-39,34072,18968,6.4,3.56
All,30-39,34162,19332,5.25,2.97
1_Month,40-49,6053,1527,18.43,4.65
3_Month,40-49,9912,2548,14.78,3.8
6_Month,40-49,19377,6204,7.48,2.39
1_Year,40-49,30343,13907,6.27,2.87
All,40-49,30445,14169,5.2,2.42
1_Month,50-59,4364,930,13.96,2.98
3_Month,50-59,6966,1500,11.09,2.39
6_Month,50-59,13025,3500,6.66,1.79
1_Year,50-59,19525,7482,5.83,2.23
All,50-59,19591,7664,4.79,1.88
1_Month,60-69,3304,522,9.66,1.53
3_Month,60-69,5182,821,7.68,1.22
6_Month,60-69,8491,1845,5.25,1.14
1_Year,60-69,12218,3876,4.83,1.53
All,60-69,12273,3977,4.08,1.32
1_Month,70-79,1997,235,6.68,0.79
3_Month,70-79,3132,352,5.28,0.59
6_Month,70-79,4431,675,3.9,0.59
1_Year,70-79,5953,1218,3.71,0.76
All,70-79,5978,1272,3.23,0.69
1_Month,80+,1398,149,8.08,0.86
3_Month,80+,2024,226,6.61,0.74
6_Month,80+,2774,416,4.88,0.73
1_Year,80+,3691,695,4.58,0.86
All,80+,3723,741,3.82,0.76
