period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,1151,3910,9.87,33.54
3_Month,5-11,2729,10248,7.97,29.93
6_Month,5-11,3746,23675,2.12,13.42
1_Year,5-11,4569,51480,0.75,8.46
All,5-11,4569,51919,0.63,7.21
1_Month,12-15,619,766,14.31,17.71
3_Month,12-15,1772,2417,10.62,14.48
6_Month,12-15,3789,5979,4.77,7.53
1_Year,12-15,8580,18060,3.15,6.64
All,12-15,8581,18479,2.49,5.37
1_Month,16-19,1510,448,23.78,7.06
3_Month,16-19,3238,1086,18.51,6.21
6_Month,16-19,6036,2406,8.96,3.57
1_Year,16-19,14322,10726,6.48,4.85
All,16-19,14395,11080,4.7,3.62
1_Month,20-29,4862,1249,22.42,5.76
3_Month,20-29,9789,2764,18.09,5.11
6_Month,20-29,17179,5512,10.13,3.25
1_Year,20-29,35986,20807,7.38,4.27
All,20-29,36089,21380,5.57,3.3
1_Month,30-39,5705,1587,21.15,5.88
3_Month,30-39,11160,3494,16.5,5.17
6_Month,30-39,18807,6536,8.94,3.11
1_Year,30-39,34756,19122,6.53,3.59
All,30-39,34877,19537,5.33,2.99
1_Month,40-49,5043,1234,19.32,4.73
3_Month,40-49,10520,2655,15.38,3.88
6_Month,40-49,16951,4858,8.34,2.39
1_Year,40-49,31055,14029,6.41,2.9
All,40-49,31190,14321,5.3,2.43
1_Month,50-59,3680,734,14.73,2.94
3_Month,50-59,7384,1558,11.5,2.43
6_Month,50-59,11583,2826,7.24,1.77
1_Year,50-59,20026,7553,5.95,2.25
All,50-59,20120,7748,4.88,1.88
1_Month,60-69,2824,424,10.21,1.53
3_Month,60-69,5512,863,7.97,1.25
6_Month,60-69,7924,1522,5.62,1.08
1_Year,60-69,12625,3927,4.95,1.54
All,60-69,12709,4034,4.17,1.32
1_Month,70-79,1788,200,7.21,0.81
3_Month,70-79,3384,364,5.53,0.59
6_Month,70-79,4351,585,4.12,0.55
1_Year,70-79,6243,1237,3.82,0.76
All,70-79,6279,1295,3.33,0.69
1_Month,80+,1291,152,8.6,1.01
3_Month,80+,2219,248,6.91,0.77
6_Month,80+,2774,388,5.23,0.73
1_Year,80+,3914,720,4.76,0.88
All,80+,3956,770,3.96,0.77
