age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.2,17.7,0.2,0,3.8,79,17.2
12-15,65.6,54.6,14.9,0,7.3,43.9,48.8
16-19,89.3,78.3,46,0.2,8,22.8,69.2
20-29,85.6,77.1,54.8,0.9,8.7,13.3,78
30-39,88.9,82,59.7,2,10.3,10.5,79.1
40-49,90.6,84.7,67.1,3.5,10.8,9,80.2
50-59,91.2,86.6,73.3,7.2,11.8,6.6,81.5
60-69,93.2,90.3,80.8,34.1,10,7.7,82.3
70-79,92.1,90.7,87.4,54.6,9.8,3.8,86.5
80+,95.3,93.2,87.5,58.1,9.1,6,84.9
