age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,350405,276255,635971,55.1,43.4,417,0.1
16-19,504856,436417,591331,85.4,73.8,165326,28
20-29,1085581,973861,1319364,82.3,73.8,547398,41.5
30-39,1043860,958914,1207243,86.5,79.4,580056,48
40-49,984682,915980,1110965,88.6,82.4,645214,58.1
50-59,784092,738563,874608,89.7,84.4,576733,65.9
60-69,685625,658940,747217,91.8,88.2,560870,75.1
70-79,474745,463766,526929,90.1,88,428621,81.3
80-89,214901,209157,238729,90,87.6,186997,78.3
90+,48866,47054,58687,83.3,80.2,40447,68.9
