period,ageGroup,sickReturnsVaccinated,sickReturnsNotVaccinated,sickReturnsVaccinatedPerc,sickReturnsNotVaccinatedPerc
1_Month,5-11,378,2761,1.31,9.56
3_Month,5-11,1656,36677,0.4,8.9
6_Month,5-11,1752,39341,0.38,8.47
1_Year,5-11,1752,40733,0.3,7.04
All,5-11,1752,40863,0.26,6.01
1_Month,12-15,506,773,3.51,5.36
3_Month,12-15,6072,12701,3.16,6.6
6_Month,12-15,6740,14559,3.08,6.65
1_Year,12-15,6824,15550,2.65,6.04
All,12-15,6824,15707,2.1,4.84
1_Month,16-19,762,333,5.62,2.46
3_Month,16-19,9270,6939,5.96,4.46
6_Month,16-19,10802,8667,6.11,4.9
1_Year,16-19,11034,9542,5.42,4.68
All,16-19,11043,9809,3.86,3.43
1_Month,20-29,2698,724,6.34,1.7
3_Month,20-29,22373,13145,6.94,4.08
6_Month,20-29,25370,15848,6.94,4.33
1_Year,20-29,25918,17716,6.01,4.11
All,20-29,25939,18139,4.43,3.1
1_Month,30-39,2577,821,5.45,1.74
3_Month,30-39,20827,12205,5.84,3.42
6_Month,30-39,22730,13960,5.78,3.55
1_Year,30-39,23167,15294,5.04,3.33
All,30-39,23199,15588,4.04,2.71
1_Month,40-49,2162,601,4.82,1.34
3_Month,40-49,17942,8853,5.48,2.71
6_Month,40-49,19837,10250,5.51,2.85
1_Year,40-49,20195,11051,4.91,2.69
All,40-49,20230,11263,3.97,2.21
1_Month,50-59,1448,371,4.11,1.05
3_Month,50-59,11037,4758,5.06,2.18
6_Month,50-59,12154,5475,5.11,2.3
1_Year,50-59,12353,5800,4.64,2.18
All,50-59,12387,5953,3.67,1.76
1_Month,60-69,875,179,3.08,0.63
3_Month,60-69,6107,2499,4.12,1.69
6_Month,60-69,6725,2857,4.17,1.77
1_Year,60-69,6846,2970,3.82,1.66
All,60-69,6870,3044,3.05,1.35
1_Month,70-79,351,49,1.91,0.27
3_Month,70-79,2385,704,3,0.88
6_Month,70-79,2650,790,3.06,0.91
1_Year,70-79,2720,829,2.83,0.86
All,70-79,2734,871,2.29,0.73
1_Month,80-89,137,20,2.12,0.31
3_Month,80-89,1060,309,3.44,1
6_Month,80-89,1148,341,3.47,1.03
1_Year,80-89,1187,353,3.15,0.94
All,80-89,1200,383,2.4,0.77
1_Month,90+,46,5,3.41,0.37
3_Month,90+,364,75,4.63,0.95
6_Month,90+,401,85,4.76,1.01
1_Year,90+,418,89,4.33,0.92
All,90+,425,100,3.1,0.73
