age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,1059,0,1801,364.7,,196.1,0,0,2,0,,0.2
12-15,583,324,379,200.9,406.4,151.7,1,0,0,0.3,0,0
16-19,1019,150,256,262.9,204.1,217.7,0,0,1,0,0,0.9
20-29,3688,362,695,384.2,230.2,389.9,0,0,3,0,0,1.7
30-39,4716,417,888,512.2,312.2,669,3,0,5,0.3,0,3.8
40-49,4327,310,735,483,316.3,718.1,5,2,4,0.6,2,3.9
50-59,3659,181,588,498.1,269.9,915.9,6,1,6,0.8,1.5,9.3
60-69,4986,146,663,766.4,379.8,1232.7,27,3,14,4.2,7.8,26
70-79,3935,91,471,817.4,414.1,2268.6,43,6,6,8.9,27.3,28.9
80-89,1834,72,238,857.4,487.5,3057.6,34,4,17,15.9,27.1,218.4
90+,518,24,72,1021.4,331.3,,21,1,10,41.4,13.8,
