age_group,percent_vaccinated_first_dose,persent_vaccinated_second_dose,persent_vaccinated_third_dose,persent_vaccinated_fourth_dose,vaccinated_amount_perc,not_vaccinated_amount_perc,vaccinated_expired_amount_perc
5-11,25.1,17.6,0.1,0,22.6,76.9,0.5
12-15,65.6,54.6,14.7,0,36.5,42.5,21
16-19,89.2,78.2,45.9,0.2,33.1,22.3,44.6
20-29,85.6,77,54.7,0.8,29.5,13.5,57
30-39,88.9,81.9,59.6,1.9,33.5,10.7,55.8
40-49,90.5,84.7,67,3.3,34.8,9.2,56
50-59,91.2,86.5,73.2,6.9,34,7,59
60-69,93.1,90.2,80.8,33.5,51.1,7.9,41
70-79,92,90.6,87.3,54,64.8,4.7,30.5
80+,95.3,93.2,87.5,57.6,64.8,6.4,28.8
