age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,182551,48706,386831,159,346,2854,87.1,710.4,737.8,0,0,1,0,0,0.3
16-19,428633,26315,128597,1612,81,866,376.1,307.8,673.4,0,0,2,0,0,1.6
20-29,991065,42748,266548,4984,142,1667,502.9,332.2,625.4,0,0,4,0,0,1.5
30-39,968604,33646,194776,5238,111,1552,540.8,329.9,796.8,2,0,11,0.2,0,5.6
40-49,926929,25814,145813,5171,57,1078,557.9,220.8,739.3,8,2,24,0.9,7.7,16.5
50-59,747652,17335,84979,3791,42,679,507.1,242.3,799,22,0,35,2.9,0,41.2
60-69,665599,10584,65456,2905,21,442,436.4,198.4,675.3,57,3,46,8.6,28.3,70.3
70-79,464279,5806,20699,1909,22,216,411.2,378.9,1043.5,87,2,41,18.7,34.4,198.1
80-89,208897,3881,12760,956,11,132,457.6,283.4,1034.5,97,2,34,46.4,51.5,266.5
90+,46588,1755,3153,257,6,61,551.6,341.9,1934.7,18,2,14,38.6,114,444
