instituteDesc,occupancy,gOccupancy,occupancyDate
Rabin K. Hasharon             ,64.9,65.1,2022-09-06T00:00:00.000Z
Woolfson Medical Center       ,74.2,72.8,2022-09-06T00:00:00.000Z
Haemek Valley Center Hospital ,75.5,70.2,2022-09-06T00:00:00.000Z
Soroka Medical Center         ,86,85.8,2022-09-06T00:00:00.000Z
Shmuel Harofe                 ,86.1,78.9,2022-09-06T00:00:00.000Z
Barzilai Medical Center       ,88,81.5,2022-09-06T00:00:00.000Z
Rambam                        ,93.9,84.1,2022-09-06T00:00:00.000Z
      Ziv Hospital            ,96.9,80.4,2022-09-06T00:00:00.000Z
Chaim Sheba Medical Center    ,96.2,106.3,2022-09-06T00:00:00.000Z
Nahariya                      ,113.7,93.8,2022-09-06T00:00:00.000Z
Hadassah Ein Kerem            ,115.5,98.8,2022-09-06T00:00:00.000Z
Assuta Ashdod                 ,123.7,107.2,2022-09-06T00:00:00.000Z
