instituteDesc,occupancy,gOccupancy,occupancyDate
Woolfson Medical Center       ,70.5,77.6,2022-09-12T00:00:00.000Z
Yosephtal Hospital            ,75,40,2022-09-12T00:00:00.000Z
Rabin K. Hasharon             ,75.4,68,2022-09-12T00:00:00.000Z
Hacarmel Hospital             ,82.1,82,2022-09-12T00:00:00.000Z
Poriah Hospital               ,89.7,84.8,2022-09-12T00:00:00.000Z
Hadassah Mount Scopus         ,91.7,84.7,2022-09-12T00:00:00.000Z
      Ziv Hospital            ,95.3,85,2022-09-12T00:00:00.000Z
Shmuel Harofe                 ,100,83.3,2022-09-12T00:00:00.000Z
Barzilai Medical Center       ,103.1,90.4,2022-09-12T00:00:00.000Z
Hillel Yaffeh Medical Center  ,106.8,94,2022-09-12T00:00:00.000Z
Laniado                       ,109,102.2,2022-09-12T00:00:00.000Z
Nahariya                      ,111.6,102.3,2022-09-12T00:00:00.000Z
Assuta Ashdod                 ,120.3,117.4,2022-09-12T00:00:00.000Z
Hadassah Ein Kerem            ,121.4,102.4,2022-09-12T00:00:00.000Z
