age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose,vaccinated_third_dose,persent_vaccinated_third_dose
12-15,323042,238846,635971,50.8,37.6,245,0
16-19,489193,421303,591331,82.7,71.2,103787,17.6
20-29,1060410,959480,1319364,80.4,72.7,352584,26.7
30-39,1024628,947181,1207243,84.9,78.5,407807,33.8
40-49,970153,905852,1110965,87.3,81.5,514428,46.3
50-59,775426,731297,874608,88.7,83.6,500329,57.2
60-69,681717,654427,747217,91.2,87.6,524064,70.1
70-79,473221,461325,526929,89.8,87.5,412231,78.2
80-89,214182,208229,238729,89.7,87.2,179970,75.4
90+,48688,46828,58687,83,79.8,38651,65.9
