age,active_amount_vaccinated,active_amount_vaccinated_expired,active_amount_not_vaccinated,active_vaccinated_normalized,active_vaccinated_expired_normalized,active_not_vaccinated_normalized,serious_amount_vaccinated,serious_amount_vaccinated_expired,serious_amount_not_vaccinated,serious_vaccinated_normalized,serious_vaccinated_expired_normalized,serious_not_vaccinated_normalized
5-11,308,0,582,107.6,,63,0,0,0,0,,0
12-15,253,128,135,92.3,139.7,51.9,0,0,1,0,0,0.4
16-19,290,48,55,76.9,59.9,42.8,0,0,0,0,0,0
20-29,886,110,158,93,60.9,88.9,1,0,1,0.1,0,0.6
30-39,1148,130,188,126.1,79.9,145.7,0,0,1,0,0,0.8
40-49,1288,104,145,145.4,88,141.8,0,1,3,0,0.8,2.9
50-59,1213,70,119,166,90.9,188.2,5,1,3,0.7,1.3,4.7
60-69,1820,58,157,281.9,151.7,264.1,14,1,3,2.2,2.6,5
70-79,1715,45,131,362.5,241.2,465,22,1,3,4.6,5.4,10.6
80+,944,32,83,381.5,238.9,453.9,14,2,5,5.7,14.9,27.3
